Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,1,0,0,0,0,0.070488559,0,0.172214182,0.743589744,1,1,1
LP001003,1,1,0.333333333,0,0,0.054829932,0.03619171,0.172214182,0.743589744,1,0,0
LP001005,1,1,0,0,1,0.035250464,0,0.082489146,0.743589744,1,1,1
LP001006,1,1,0,1,0,0.030092764,0.056591547,0.160636758,0.743589744,1,1,1
LP001008,1,0,0,0,0,0.072356215,0,0.191027496,0.743589744,1,1,1
LP001011,1,1,0.666666667,0,1,0.065145331,0.100703194,0.373371925,0.743589744,1,1,1
LP001013,1,1,0,1,0,0.027000618,0.036383709,0.124457308,0.743589744,1,1,1
LP001014,1,1,1,0,0,0.035695733,0.060095519,0.215629522,0.743589744,0,0.5,0
LP001018,1,1,0.666666667,0,0,0.047693259,0.036623707,0.230101302,0.743589744,1,1,1
LP001020,1,1,0.333333333,0,0,0.156969697,0.263229894,0.492040521,0.743589744,1,0.5,0
LP001024,1,1,0.666666667,0,0,0.037724181,0.016799866,0.088277858,0.743589744,1,1,1
LP001027,1,1,0.666666667,0,0,0.029066172,0.044159647,0.1447178,0.743589744,1,1,1
LP001028,1,1,0.666666667,0,0,0.03615337,0.194542444,0.276410999,0.743589744,1,1,1
LP001029,1,0,0,0,0,0.021063698,0.068159455,0.15195369,0.743589744,1,0,0
LP001030,1,1,0.666666667,0,0,0.014211503,0.026063791,0.011577424,0.230769231,1,1,1
LP001032,1,0,0,0,0,0.059369202,0,0.167872648,0.743589744,1,1,1
LP001034,1,0,0.333333333,1,0,0.04262214,0,0.131693198,0.487179487,1,1,1
LP001036,0,0,0,0,0,0.041558442,0,0.096960926,0.743589744,0,1,0
LP001038,1,1,0,1,0,0.058589981,0,0.179450072,0.743589744,1,0,0
LP001041,1,1,0,0,0,0.03030303,0.083999328,0.153400868,0.743589744,1,1,1
LP001043,1,1,0,1,0,0.092888064,0,0.13748191,0.743589744,0,1,0
LP001046,1,1,0.333333333,0,0,0.071799629,0.13499892,0.442836469,0.743589744,1,1,1
LP001047,1,1,0,1,0,0.03030303,0.045863633,0.154848046,0.743589744,0,0.5,0
LP001050,1,1,0.666666667,1,0,0.039764997,0.046007632,0.149059334,0.743589744,0,0,0
LP001052,1,1,0.333333333,0,0,0.044118738,0.070199438,0.205499276,0.743589744,1,0.5,0
LP001066,1,1,0,0,1,0.116388374,0,0.263386397,0.743589744,1,0.5,1
LP001068,1,1,0,0,0,0.032764378,0.054071567,0.163531114,0.743589744,1,0.5,1
LP001073,1,1,0.666666667,1,0,0.050414348,0.0249598,0.146164978,0.743589744,1,1,1
LP001086,1,0,0,1,0,0.01598021,0,0.037626628,0.743589744,1,1,0
LP001087,0,0,0.666666667,0,0,0.044526902,0.0499916,0.160636758,0.743589744,1,0.5,1
LP001091,1,1,0.333333333,0,0,0.049672233,0.080855353,0.277858177,0.743589744,1,1,0
LP001095,1,0,0,0,0,0.037316017,0,0.09406657,0.743589744,1,1,0
LP001097,1,0,0.333333333,0,1,0.056178108,0,0.140376266,0.743589744,1,0,0
LP001098,1,1,0,0,0,0.041434756,0.04000768,0.15195369,0.743589744,1,0.5,1
LP001100,1,0,1,0,0,0.15275201,0.071999424,0.450072359,0.743589744,1,0,0
LP001106,1,1,0,0,0,0.026283241,0.049607603,0.172214182,0.743589744,1,1,1
LP001109,1,1,0,0,0,0.020754484,0.031919745,0.131693198,0.743589744,0,1,0
LP001112,0,1,0,0,0,0.043500309,0.03501572,0.19536903,0.743589744,1,0.5,1
LP001114,1,0,0,0,0,0.049672233,0.173038616,0.253256151,0.743589744,1,1,1
LP001116,1,0,0,1,0,0.044502165,0.04003168,0.146164978,0.743589744,1,0.5,1
LP001119,1,0,0,0,0,0.042671614,0,0.102749638,0.743589744,1,1,0
LP001120,1,0,0,0,0,0.020408163,0.029111767,0.054992764,0.743589744,1,1,1
LP001123,1,1,0,0,0,0.027829314,0,0.095513748,0.743589744,1,1,1
LP001131,1,1,0,0,0,0.046889301,0.056063551,0.18089725,0.743589744,1,0.5,1
LP001136,1,1,0,1,1,0.056215213,0,0.125904486,0.743589744,1,1,1
LP001137,0,0,0,0,0,0.040321583,0,0.114327062,0.743589744,1,1,1
LP001138,1,1,0.333333333,0,0,0.068014842,0,0.05065123,0.743589744,1,1,1
LP001144,1,1,0,0,0,0.070142239,0,0.19536903,0.743589744,1,1,1
LP001146,0,1,0,0,0,0.030859617,0.08255934,0.160636758,0.743589744,0,1,0
LP001151,0,0,0,0,0,0.047619048,0.054599563,0.19536903,0.743589744,1,0.5,1
LP001155,0,1,0,1,0,0.021991342,0.039455684,0.131693198,0.743589744,1,0.5,1
LP001157,0,0,0,0,0,0.036314162,0,0.160636758,0.743589744,1,0.5,1
LP001164,0,0,0,0,0,0.050463822,0,0.149059334,0.743589744,1,0.5,0
LP001179,1,1,0.666666667,0,0,0.055238095,0,0.18089725,0.743589744,1,1,0
LP001186,0,1,0.333333333,0,1,0.140383426,0,0.400868307,0.743589744,0,1,0
LP001194,1,1,0.666666667,0,0,0.031638837,0.028007776,0.127351664,0.743589744,1,0.5,1
LP001195,1,1,0,0,0,0.024514533,0.038183695,0.125904486,0.743589744,1,0.5,1
LP001197,1,1,0,0,0,0.039777365,0.052799578,0.182344428,0.743589744,1,0,0
LP001198,1,1,0.333333333,0,0,0.09808287,0.053999568,0.247467438,0.743589744,1,1,1
LP001199,1,1,0.666666667,1,0,0.039666048,0.068615451,0.19536903,0.743589744,1,1,1
LP001205,1,1,0,0,0,0.029066172,0.091103271,0.160636758,0.743589744,1,1,1
LP001206,1,1,1,0,0,0.035609153,0,0.13024602,0.743589744,1,1,1
LP001207,1,1,0,1,1,0.030414348,0.082775338,0.225759768,0.358974359,0,0,0
LP001213,1,1,0.333333333,0,0,0.059307359,0,0.172214182,0.743589744,0,0,0
LP001222,0,0,0,0,0,0.049672233,0,0.154848046,0.743589744,0,0.5,0
LP001225,1,1,0,0,0,0.068967223,0.110279118,0.360347323,0.743589744,1,0.5,0
LP001228,1,0,0,1,0,0.037724181,0.054095567,0.169319826,0.358974359,0,1,0
LP001233,1,1,0.333333333,0,0,0.131106988,0,0.438494935,0.743589744,1,1,1
LP001238,1,1,1,1,1,0.085961657,0,0.167872648,0.102564103,1,1,1
LP001241,0,0,0,0,0,0.051329623,0,0.183791606,0.743589744,0,0.5,0
LP001243,1,1,0,0,0,0.037823129,0.073583411,0.235890014,0.743589744,1,1,1
LP001245,1,1,0.666666667,1,1,0.021335807,0.04499964,0.127351664,0.743589744,1,0.5,1
LP001248,1,0,0,0,0,0.041434756,0,0.104196816,0.615384615,1,0.5,1
LP001250,1,1,1,1,0,0.056957328,0,0.124457308,0.743589744,0,0.5,0
LP001253,1,1,1,0,1,0.063277675,0.042575659,0.257597685,0.743589744,1,0.5,1
LP001255,1,0,0,0,0,0.044526902,0,0.150506512,1,1,1,0
LP001256,1,0,0,0,0,0.044526902,0.113999088,0.241678726,0.743589744,1,1,0
LP001259,1,1,0.333333333,0,1,0.010513296,0.07252742,0.146164978,0.743589744,1,1,0
LP001263,1,1,1,0,0,0.037316017,0.095999232,0.247467438,0.615384615,0,0.5,0
LP001264,1,1,1,1,1,0.039369202,0.051983584,0.175108538,0.743589744,1,0.5,1
LP001265,0,0,0,0,0,0.045714286,0,0.147612156,0.743589744,1,0.5,1
LP001266,1,1,0.333333333,0,1,0.027767471,0,0.172214182,0.743589744,1,0.5,1
LP001267,0,1,0.666666667,0,0,0.015188621,0.045143639,0.228654124,0.743589744,1,1,0
LP001273,1,1,0,0,0,0.072356215,0.053999568,0.370477569,0.743589744,1,0.5,0
LP001275,1,1,0.333333333,0,0,0.047470625,0,0.059334298,0.487179487,1,1,1
LP001279,1,0,0,0,0,0.027408782,0.060743514,0.183791606,0.743589744,1,0.5,1
LP001280,1,1,0.666666667,1,0,0.039369202,0.047999616,0.13024602,0.743589744,1,0.5,1
LP001282,1,1,0,0,0,0.029066172,0.050831593,0.13748191,0.743589744,1,0.5,1
LP001289,1,0,0,0,0,0.104094001,0,0.290882779,0.743589744,1,1,1
LP001310,1,1,0,0,0,0.068583797,0.1000072,0.240231548,0.743589744,1,0.5,1
LP001316,1,1,0,0,0,0.034730983,0.069599443,0.176555716,0.743589744,1,0.5,1
LP001318,1,1,0.666666667,0,0,0.075448361,0.135694914,0.259044863,0.358974359,1,0.5,1
LP001319,1,1,0.666666667,1,0,0.038627087,0.043679651,0.104196816,0.743589744,1,1,1
LP001322,1,0,0,0,0,0.049264069,0,0.163531114,0.743589744,1,0.5,1
LP001325,1,0,0,1,0,0.042918986,0,0.023154848,0.230769231,1,0.5,1
LP001326,1,0,0,0,0,0.082028448,0,0.172214182,0.743589744,1,1,0
LP001327,0,1,0,0,0,0.028868275,0.055247558,0.185238784,0.743589744,1,0.5,1
LP001333,1,1,0,0,0,0.022597403,0.023927809,0.059334298,0.743589744,1,0.5,1
LP001334,1,1,0,1,0,0.049944341,0,0.153400868,0.358974359,1,0.5,1
LP001343,1,1,0,0,0,0.019901051,0.08498332,0.176555716,0.743589744,1,0.5,1
LP001345,1,1,0.666666667,1,0,0.0511812,0.078311374,0.179450072,0.358974359,1,1,1
LP001349,1,0,0,0,0,0.058045764,0.091343269,0.205499276,0.743589744,1,0.5,1
LP001350,1,1,0,0,0,0.166975881,0,0.172214182,0.743589744,1,1,1
LP001356,1,1,0,0,0,0.055683364,0.085991312,0.172214182,0.743589744,1,0.5,1
LP001357,1,1,0,0,0,0.045343228,0.018095855,0.218523878,0.743589744,1,1,1
LP001367,1,1,0.333333333,0,0,0.03589363,0.024719802,0.131693198,0.743589744,1,1,1
LP001369,1,1,0.666666667,0,0,0.139356834,0.027023784,0.312590449,0.743589744,1,1,1
LP001370,1,0,0,1,0,0.088843537,0,0.160636758,0.743589744,1,0,0
LP001379,1,1,0.666666667,0,0,0.045145331,0.086399309,0.299565847,0.743589744,0,1,0
LP001384,1,1,1,1,0,0.023760049,0.018095855,0.12301013,1,1,0.5,1
LP001385,1,0,0,0,0,0.063896104,0,0.183791606,0.743589744,1,1,1
LP001387,0,1,0,0,0,0.034372294,0.055991552,0.18813314,0.743589744,1,0.5,1
LP001391,1,1,0,1,0,0.042325294,0.09873521,0.206946454,0.743589744,0,0,0
LP001392,0,0,0.333333333,0,1,0.09030303,0,0.172214182,0.743589744,1,0.5,1
LP001398,1,0,0,0,0,0.060606061,0,0.157742402,0.743589744,1,0.5,1
LP001401,1,1,0.333333333,0,0,0.17851577,0,0.254703329,0.358974359,1,0,1
LP001404,0,1,0,0,0,0.037316017,0.054791562,0.20984081,0.743589744,1,0.5,1
LP001405,1,1,0.333333333,0,0,0.025528757,0.033551732,0.109985528,0.743589744,1,1,1
LP001421,1,1,0,0,0,0.067012987,0.051407589,0.240231548,0.743589744,1,0,0
LP001422,0,0,0,0,0,0.126876933,0,0.361794501,0.743589744,1,1,1
LP001426,1,1,0,0,0,0.068237477,0.064007488,0.247467438,0.743589744,1,0,1
LP001430,0,0,0,0,0,0.049672233,0,0.05065123,0.743589744,1,0.5,1
LP001431,0,0,0,0,0,0.024576376,0.215518276,0.185238784,0.743589744,0,0.5,1
LP001432,1,1,0.666666667,0,0,0.034718615,0,0.104196816,0.743589744,1,0.5,1
LP001439,1,1,0,1,0,0.051329623,0.048335613,0.267727931,0.743589744,1,0,1
LP001443,0,0,0,0,0,0.043809524,0,0.121562952,0.743589744,1,0,1
LP001448,1,1,1,0,0,0.292554113,0,0.522431259,0.743589744,1,0,1
LP001449,1,0,0,0,0,0.045949289,0.039359685,0.172214182,0.743589744,1,0,1
LP001451,1,1,0.333333333,0,1,0.128175634,0.092399261,0.218523878,0.358974359,0,1,0
LP001465,1,1,0,0,0,0.073345702,0.061655507,0.250361795,0.743589744,1,0,0
LP001469,1,0,0,0,1,0.247569573,0,0.9276411,1,1,1,1
LP001473,1,0,0,0,0,0.02305504,0.04629563,0.09406657,0.743589744,1,1,1
LP001478,1,0,0,0,0,0.031762523,0,0.088277858,0.743589744,1,0.5,1
LP001482,1,1,0,0,1,0.040927644,0,0.023154848,0.230769231,1,0.5,1
LP001487,1,0,0,0,0,0.05868893,0,0.134587554,0.743589744,1,0.5,1
LP001488,1,1,1,0,0,0.047619048,0.185998512,0.406657019,0.743589744,1,0.5,0
LP001489,0,1,0,0,0,0.054829932,0,0.10853835,0.743589744,1,0,0
LP001491,1,1,0.666666667,0,1,0.039158936,0.083999328,0.114327062,0.743589744,1,1,1
LP001492,1,0,0,0,0,0.183661101,0,0.337192475,0.743589744,0,0.5,0
LP001493,1,1,0.666666667,1,0,0.050092764,0.034319725,0.17366136,0.743589744,1,0,0
LP001497,1,1,0.666666667,0,0,0.060507112,0.0499916,0.254703329,0.743589744,1,0,0
LP001498,1,0,0,0,0,0.065145331,0,0.230101302,0.743589744,1,1,1
LP001504,1,0,0,0,1,0.08410637,0,0.240231548,0.358974359,1,0.5,1
LP001507,1,1,0,0,0,0.031515152,0.048815609,0.163531114,0.743589744,1,0.5,1
LP001508,1,1,0.666666667,0,0,0.143562152,0,0.257597685,0.358974359,1,1,1
LP001514,0,1,0,0,0,0.026963513,0.107663139,0.131693198,0.743589744,1,0.5,1
LP001516,0,1,0.666666667,0,0,0.182016079,0,0.088277858,0.743589744,1,1,1
LP001518,1,1,0.333333333,0,0,0.017167594,0.034199726,0.030390738,0.743589744,1,1,1
LP001519,0,0,0,0,0,0.12183055,0.03998368,0.312590449,0.743589744,1,0,0
LP001520,1,1,0,0,0,0.05825603,0.019919841,0.167872648,0.743589744,1,0.5,1
LP001528,1,0,0,0,0,0.075782313,0,0.157742402,0.743589744,0,0,0
LP001529,1,1,0,0,1,0.030018553,0.08999928,0.206946454,0.743589744,1,0,1
LP001531,1,0,0,0,0,0.111515152,0,0.340086831,0.743589744,1,1,0
LP001532,1,1,0.666666667,1,0,0.026357452,0,0.150506512,0.743589744,1,0,0
LP001535,1,0,0,0,0,0.038392084,0,0.059334298,0.743589744,1,1,1
